제목,내용,작성일자,url
2018년 3월 해외증시 휴장안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2018년 3월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 3/30 (금) : Good Friday   <홍콩> - 3/30 (금) : Good Friday   <중국(후강통,선강통)> - 3/29 (목) ~ 3/30 (금) 홍콩 Good Friday 로 인한 휴장     ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/03/01 14:21,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50528&pageNum=6&shColum=title&shKeyword=&rnum=52&menuUrl=
미국 주식 종합 뉴스 / 리서치 서비스 중단 안내,"


제목없음



BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}



항상 교보증권을 이용해 주시는 고객님께 감사드립니다. 

 

아래와 같이 미국 주식 종합 뉴스/리서치 서비스 중단 안내를 드리오니 참고 하시기 바랍니다.

 

 
 
- 아    래 - 
 
 
 
기존 미국 주식 종합 뉴스/리서치 서비스 업체와의 계약 종료로 미국 주식 종합 뉴스/리서치 서비스를 잠시 중단 하오니 양해 부탁 드립니다. 
 
 

 - 중단 일시 : 3월 1일 부터

 

 - 미국 주식과 관련한 시황과 종목 정보 및 뉴스가 궁금하신 분들은 데스크로 연락을 주시기 바랍니다.

 

 - 해외주식 데스크 전화번호 : 02-3771-9446

 

 

감사합니다.



",2018/02/28 09:40,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50524&pageNum=6&shColum=title&shKeyword=&rnum=53&menuUrl=
2018년 2월 해외증시 휴장안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2018년 2월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 2/19 (월) : President''s Day   <홍콩> - 2/16 (금) : Lunar New Year- 2/19 (월) : The fourth day of Lunar New Year    <중국(후강통,선강통)> - 2/15 (목) ~ 2/21 (수) Spring Festival  ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/01/30 16:31,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50419&pageNum=6&shColum=title&shKeyword=&rnum=54&menuUrl=
2018년 1월 해외증시 휴장안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2018년 1월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 1/1 (월) : New Year''s Day- 1/15 (월) : Martin Luther King Day  <홍콩> - 1/1 (월) New Year''s Day   <중국(후강통/선강통)> - 1/1 (월) New Year''s Day   ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/01/04 15:38,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50317&pageNum=6&shColum=title&shKeyword=&rnum=55&menuUrl=
[오류_수정완료] 미국 리서치 화면,"
		안녕하세요. 항상 교보증권 해외주식을 이용해주셔서 감사합니다. 미국 해외주식의 리서치화면이 표시되지 않는 오류가 있습니다.현재 내용을 확인하여 조치 완료단계에 있습니다.빠른시간에 정상적으로 이용하실 수 있도록 하겠습니다. 감사합니다.  ※완료일 : 2017.12.08(금) 예정.
		
		
",2017/12/05 17:11,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50168&pageNum=6&shColum=title&shKeyword=&rnum=56&menuUrl=
2017년 12월 해외증시 휴장안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2017년 12월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국>  - 12/25 (월) 크리스마스  <홍콩>  - 12/25 (월) 크리스마스 - 12/26 (화) Boxing Day  <중국(후강통,선강통)>  - 12/22 (금) 다음 거래일 홍콩 휴장으로 인해 중국 시장 매매 불가 - 12/25 (월) 홍콩 휴장으로 중국 시장 매매 불가 - 12/26 (화) 홍콩 휴장으로 중국 시장 매매 불가  ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2017/11/30 13:06,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50142&pageNum=6&shColum=title&shKeyword=&rnum=57&menuUrl=
2017년 11월 해외증시 휴장안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 11월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 11/10 (금): Veteran’s Day (재향군인의 날)로 인한 결제일 변경 * 미국 주식 시장 정상거래  - 11/23 (목) : Thanksgiving Day (추수감사절) * 미국 주식 시장 휴장  - 11/24 (금) : Thanksgiving Day (추수감사절) * 미국 주식 시장 조기 폐장 (23:30 ~ 03:00 우리나라 시간 기준) <홍콩> 없음.   <후강퉁(상해A)> 없음.    ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2017/10/31 19:03,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50008&pageNum=6&shColum=title&shKeyword=&rnum=58&menuUrl=
미국 증시 거래시간 변경(섬머타임 종료),"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  미국 섬머타임이 미국 동부시간 기준 11월 5일 02:00시 부로 종료됩니다. 따라서 국내시간 기준 11월 6일 부로 미국 거래소 정규장이 기존 22:30분에서 23:30분으로 변경되오니 착오 없으시길 바랍니다.   - 2016년 11월 6일 부터 미국 증시 거래시간 변경 - 기존 : 22:30 ~ 05:00 - 변경 : 23:30 ~ 06:00   ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2017/10/30 18:43,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50005&pageNum=6&shColum=title&shKeyword=&rnum=59&menuUrl=
(11월2일)해외주식 온라인 세미나 안내,"
		교보증권 해외주식부에서국내 및 해외주식과 온라인 설명회 일정을 안내드리오니하단의 첨부파일을 참고 부탁드리겠습니다.  ▶세미나 안내 ①일시: 2017년 11월 02일 목요일 19:00~21:00(2시간) ②온라인 세미나 주소(URL) :  - 카카오TV 사이트 “만리장성스탁 온라인 교육설명회” 검색  - 또는, tv.kakao.com/channel/2934526 접속 ③대상 : 세미나 참여를 원하는 모든 고객 ③강사 : “만리장성스탁” 이재석 전문가 ④내용 : 미국(4차산업), 중국·홍콩(내수), 한국(반도체) 시장의 주도업종 및 투자전략 ⑤참여방법 : 컴퓨터 또는 스마트폰 참여가능  - 방법⓵ 세미나 시간에 맞춰 카카오TV 사이트 또는 스마트폰 어플에 “만리장성스탁 온라인 교육설명회” 검색 참여 - 방법⓶ 세미나 시간에 맞춰 인터넷 주소창에 “tv.kakao.com/channel/2934526” 입력 후 접속 - 방법⓸ 사전신청(유선)하시는 분에 한하여 당일 접속 가능한 주소가 적힌 문자발송 예정 ⑥문의 및 유선신청 : 02-3771-9400(해외주식부)
		
			<h4>첨부파일</h4>
해외주식 온라인세미나 안내.jpg

",2017/10/23 14:21,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49960&pageNum=6&shColum=title&shKeyword=&rnum=60&menuUrl=
2017년 10월 해외 휴장일,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2017년 10월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 없음.  <홍콩> - 10/2 (월) The day following the Chinese Mid-Autumn Festival 국경절, 중추절 - 10/5 (목) The day following the Chinese Mid-Autumn Festival 국경절, 중추절  <중국(후강통,선강통)> - 10/2 (월) ~ 10/6 (금) Tmid-Autumn Festival & National Day 국경절, 중추절   ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2017/09/28 10:37,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49894&pageNum=7&shColum=title&shKeyword=&rnum=61&menuUrl=
해외ETP 매매 변경안내(수정),"
		안녕하세요.항상 교보증권을 이용해 주셔서 감사합니다.기존 거래중인 해외(미국, 홍콩, 중국 등)ETP 종목 매매와 관련하여 변경사항을 안내드립니다. 당사에서는 투자자보호를 위하여 해외ETP(ETF, ETN, ETC 등) 거래에 수반될 수 있는 다양한 위험을 안내드리오니, 위험고지를 반드시 확인하여 주시기 바랍니다.  또한, 해외ETP의 거래를 위해서는 해외ETP 거래약정 등록이 필요하며, 거래약정 등록완료 전까지는 해외ETP 종목의 신규거래가 불가능하오니 참고 부탁드립니다.   - 시행일 : 2017년 10월 20일- 29일 0시 이후 보유종목의 매도는 가능, 신규매수를 위해서는 해외ETP 거래약정 필수- 해외ETP 거래약정 등록 방법     ⓵ HTS(Provest K)접속 → 화면번호[0749] → 해외ETP 약정 및 해지    ⓶ 교보증권 홈페이지 → 해외ETP 약정등록/해지   ⓷ 9월26일부터 등록가능  [근거]- 자본시장과 금융투자업에 관한 법률 제46조의2 (적정성의 원칙 등)- 자본시장과 금융투자업에 관한 법률 시행령 제 52조의2 (적정성의 원칙)- 당사 투자권유준칙 제3-5조 (적정성 원칙 준수)   기타 문의사항은 고객지원센터(1544-0900) 또는 해외주식부(02-3771-9400)로 연락 부탁드립니다.
		
		
",2017/09/25 09:41,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49881&pageNum=7&shColum=title&shKeyword=&rnum=62&menuUrl=
미국주식 결제일 변경안내,"


제목없음



BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}


안녕하십니까, 항상 저희 교보증권을 이용해 주시는 고객 여러분께 감사의 말씀을 드립니다. 미국증권거래위원회 공지에 따라 9월 5일 화요일 매매분부터 결제일이 T+4일에서 T+3일로 변경되오니 거래에 참고하시기 바랍니다. 
 







매매일

결제일



9월 1일

9월 8일



9월 5일

9월 8일



9월 6일

9월 11일



* 9월 4일 미국휴장




 



",2017/09/04 11:27,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49833&pageNum=7&shColum=title&shKeyword=&rnum=63&menuUrl=
2017년 9월 해외 휴장일,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2017년 9월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 9/4 (월) Labor Day 노동절   <홍콩> - 없음.  <중국(후강통,선강통)> - 없음.   ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2017/08/29 13:49,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49814&pageNum=7&shColum=title&shKeyword=&rnum=64&menuUrl=
홍콩/중국 거래소 오후 휴장안내,"
		2017.08.23  홍콩의 태풍 영향으로  홍콩 및 중국(선강퉁, 후강퉁)거래소의 오후장이 휴장되었습니다.  금일은 오전/오후 모두 휴장이니 거래에 참고 부탁드리겠습니다. 감사합니다.
		
		
",2017/08/23 13:23,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49799&pageNum=7&shColum=title&shKeyword=&rnum=65&menuUrl=
홍콩/중국 거래소 오전 휴장안내,"
		2017.08.23  홍콩의 태풍 영향으로 홍콩 및 중국(선강퉁, 후강퉁)거래소의 오전장이 휴장되었습니다. 오후장 거래여부는 추후 안내드리겠습니다. 거래에 참고 부탁드리겠습니다.
		
		
",2017/08/23 10:28,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49797&pageNum=7&shColum=title&shKeyword=&rnum=66&menuUrl=
2017년 8월 해외 휴장일,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2017년 8월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 없음   <홍콩> - 없음.   <중국(후강통,선강통)> - 없음    ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2017/07/31 17:51,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49746&pageNum=7&shColum=title&shKeyword=&rnum=67&menuUrl=
2017년 7월 해외 휴장일,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2017년 7월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.     <미국> - 7/4 (화)  Independence Day 인디펜던스 데이     휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2017/07/03 17:05,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49662&pageNum=7&shColum=title&shKeyword=&rnum=68&menuUrl=
2017년 5월 해외 휴장일,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2017년 5월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 5/29 (월) Memorial Day 메모리얼 데이   <홍콩> - 5/1 (월) Labour Day 노동절- 5/3 (수) Buddah’s Birthday 석가탄신일- 5/30 (화) Tuen Ng Festival 단오절  <중국(후강통,선강통)> - 5/1 (월) Labour Day 노동절- 5/2~3 (화~수) 홍콩 거래소 석가 탄신일 및 전일로 인한 휴장 (현지 거래소 정상 거래) - 5/29 (월) Dragon Boat Festival 용선제 - 5/30 (화) Tuen Ng Festival 단오절   ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2017/04/28 22:12,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49463&pageNum=7&shColum=title&shKeyword=&rnum=69&menuUrl=
2017년 4월 해외증시 휴장일,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2017년 4월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 4/14 (금) Good Friday 성 금요일  <홍콩> - 4/4 (화) Ching Ming Festival 청명절- 4/14 (금) Good Friday 성 금요일 - 4/17 (월) Easter Monday 부활주일 후 월요일   <중국(후강통,선강통)> - 4/3 (월) Ching Ming Festival Eve 청명절 전일 - 4/4 (화) Ching Ming Festival 청명절- 4/13 (목) 홍콩거래소 전날로 인한 휴장 (현지 거래소 정상 거래) - 4/14 (금) 홍콩거래소 Good Friday 성 금요일 휴일로 인한 휴장 (현지 거래소 정상 거래) - 4/17 (월) 홍콩거래소 Easter Monday 부활주일 후 월요일로 인한 휴장 (현지 거래소 정상 거래)    ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2017/04/03 07:37,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49370&pageNum=7&shColum=title&shKeyword=&rnum=70&menuUrl=
미국 증시 거래시간 변경 (서머타임 적용),"


제목없음



BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}

  



BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}




BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}





BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}

항상 교보증권을 이용해 주시는 고객님께 감사드립니다. 

 

 

미국 섬머타임이 미국 동부시간 기준 3월 12일 02:00시 부로 적용 될 예정입니다. 따라서 국내시간 기준 3월 13일 부로 미국 거래소 정규장이 기존 23:30분에서 22:30분으로 변경되오니 착오 없으시길 바랍니다 

 

 

 


* 2017년 3월 13일 부터 미국 증시 거래시간 변경 

 

 

* 기존  23:30 ~ 06:00 
* 변경  22:30 ~ 05:00 

 

 

 

 

 

※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다. 



",2017/03/06 22:12,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49306&pageNum=8&shColum=title&shKeyword=&rnum=71&menuUrl=
2017년 3월 해외증시 휴장일,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2017년 3월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 없음  <홍콩> - 없음.   <중국(후강통,선강통)> - 없음   ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2017/03/02 08:28,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49292&pageNum=8&shColum=title&shKeyword=&rnum=72&menuUrl=
2017년 2월 해외증시 휴장일,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2017년 2월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 2/20 (월) : President''s Day 대통령의 날.  <홍콩> - 없음.   <중국(후강통,선강통)> - 2/1 (수) Luna New Year. 구정- 2/2 (목) Luna New Year. 구정   ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2017/01/31 23:00,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49163&pageNum=8&shColum=title&shKeyword=&rnum=73&menuUrl=
해외주식 신규화면 오픈 안내 (양도소득 및 담보대출),"
		안녕하십니까, 항상 저희 교보증권을 이용해주시는 고객 여러분께 감사의 말씀을 드립니다. 2017년 1월 18일(수)부터 HTS에서 아래화면이 추가 오픈되었으니 이용에 참고하시기 바랍니다. - [1332] 해외주식 담보대출현황조회- [1335] 해외주식 양도소득 과표 조회/출력
		
		
",2017/01/18 17:01,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49125&pageNum=8&shColum=title&shKeyword=&rnum=74&menuUrl=
2017년 1월 해외증시 휴장일 ,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2017년 1월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 1/2 (월) : New Year''s Day (Obs), 새해- 1/16 (월) : Martin Luther King Day. 마틴루터킹데이  <홍콩> - 1/2 (월) New Year''s Day (obs) 새해- 1/27 (금) Luna New Year''s eve 구정 전일- 1/30 (월) Luna New Year. 구정- 1/31 (화) Luna New Year. 구정  <중국(후강통,선강통)> - 1/2 (월) New Year''s Day (obs) 새해- 1/27 (금) Luna New Year''s eve 구정 전일- 1/30 (월) Luna New Year. 구정- 1/31 (화) Luna New Year. 구정   ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다. ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다. 

",2017/01/02 09:12,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=49062&pageNum=8&shColum=title&shKeyword=&rnum=75&menuUrl=
2016년 12월 해외증시 휴장일,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 12월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 12/26 (월) : Christmas (Obs) (크리스마스 휴일)   <홍콩> - 12/26 (월) : The Day After Christmas (크리스마스 휴일) - 12/27 (화) : The Day After Christmas (크리스마스 휴일)   <중국(후강통,선강통)> - 12/23 (금) ~ 12/27(화) : 홍콩 거래소의 크리스마스 휴일로 인하여 휴장. (결제 지연.)   ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2016/12/02 10:52,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=48950&pageNum=8&shColum=title&shKeyword=&rnum=76&menuUrl=
