guid;stock;title;summary;published;p_date;sentiment_summary;sentiment_title
610582f0-9b80-3ef5-93c2-082b4b682a0d;A;Agilent Reports Third-Quarter Fiscal Year 2020 Financial Results;Agilent announces third quarter fiscal year 2020 financial results.;Tue, 18 Aug 2020 20:05:00 +0000;A_2020-08-18;0.0;0.0
d6709666-0dc9-3128-b0ee-6c9885fc98f6;A;Agilent's Debt Overview;Shares of Agilent Technologies Inc. (NYSE: A) rose by 14.74% in the past three months. Before having a look at the importance of debt, let's look at how much debt Agilent Technologies has.Agilent Technologies's Debt Based on Agilent Technologies's financial statement as of June 1, 2020, long-term debt is at $1.79 billion and current debt is at $700.00 million, amounting to $2.49 billion in total debt. Adjusted for $1.32 billion in cash-equivalents, the company's net debt is at $1.16 billion.Investors look at the debt-ratio to understand how much financial leverage a company has. Agilent Technologies has $9.46 billion in total assets, therefore making the debt-ratio 0.26. As a rule of thumb, a debt-ratio more than 1 indicates that a considerable portion of debt is funded by assets. A higher debt-ratio can also imply that the company might be putting itself at risk for default, if interest rates were to increase. However, debt-ratios vary widely across different industries. A debt ratio of 35% might be higher for one industry, whereas average for another.Why Debt Is Important Besides equity, debt is an important factor in the capital structure of a company, and contributes to its growth. Due to its lower financing cost compared to equity, it becomes an attractive option for executives trying to raise capital.Interest-payment obligations can impact the cash-flow of the company. Having financial leverage also allows companies to use additional capital for business operations, allowing equity owners to retain excess profit, generated by the debt capital.See more from Benzinga  * Earnings Scheduled For August 18, 2020  * Stocks That Hit 52-Week Highs On Monday  * Stocks That Hit 52-Week Highs On Thursday(C) 2020 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.;Tue, 18 Aug 2020 13:08:53 +0000;A_2020-08-18;-0.836;-0.3612
107acf8e-d3e1-36d0-bbb1-b67e2703b66e;A;Agilent to Expand State-of-the-Art Manufacturing Capacity for Nucleic Acid-Based Therapeutics;Agilent to expand state-of-the-art manufacturing capacity for nucleic acid-based therapeutics.;Tue, 18 Aug 2020 12:00:00 +0000;A_2020-08-18;0.3182;0.3182
b34f58a1-5405-388c-9b30-1c7f4188d5bb;A;Bill Ackman Bows Out of Berkshire, Blackstone and Park Hotels & Resorts;Guru releases 2nd-quarter portfolio Continue reading...;Mon, 17 Aug 2020 19:55:29 +0000;A_2020-08-17;0.0;0.0
18372002-e0d4-386e-9aa0-0135a900ed28;A;MOBILion Closes $35M Series B Financing Round;MOBILion Systems, Inc., a pioneer in fast, efficient, high- resolution instrumentation for biomarker discovery, diagnostics and therapeutic development, today announced a $35 million Series B funding round. The oversubscribed round was led by aMoon, with the remaining funds contributed by existing investors, including Agilent Technologies (NYSE: A), IP Group, Hostplus and Cultivation Capital.;Mon, 17 Aug 2020 13:00:00 +0000;A_2020-08-17;0.4215;0.0
d1ddcbbc-5ef7-3ae8-a7f1-dddf5695256a;A;Not Your Father’s Tesla;PREVIEW  When it comes to electric-vehicle announcements, investors have gotten used to alluring and fast cars. (TSLA)’s top Model S sedan can go from zero to 60 miles per hour in 2.3 seconds. But the electric-vehicle revolution is going to come in all shapes, sizes, and speeds.;Sat, 15 Aug 2020 01:16:00 +0000;A_2020-08-15;0.2023;0.0
2b8651dc-f7b3-36b8-899f-a2f14c6aba5a;A;The Zacks Analyst Blog Highlights: JD, Agilent, Nordson, Deere and Dollar General;The Zacks Analyst Blog Highlights: JD, Agilent, Nordson, Deere and Dollar General;Thu, 13 Aug 2020 17:16:05 +0000;A_2020-08-13;0.0;0.0
9e7dfcbd-c32a-3a16-88b7-a5216b078369;A;Agilent (A) Gears Up for Q3 Earnings: What's in the Cards?;Agilent's (A) leadership position and strength in revenue segments are likely to reflect on fiscal third-quarter results. However, the global coronavirus-driven economic crisis may have been a woe.;Wed, 12 Aug 2020 13:35:01 +0000;A_2020-08-12;-0.5719;0.0
efb6332d-12d5-33d8-91ab-5563fa8feab0;A;What Is The Ownership Structure Like For Agilent Technologies, Inc. (NYSE:A)?;Every investor in Agilent Technologies, Inc. (NYSE:A) should be aware of the most powerful shareholder groups. Large...;Wed, 12 Aug 2020 10:49:07 +0000;A_2020-08-12;0.4754;0.3612
3f8ac544-7af2-3444-ac67-1cfab374583a;A;At US$96.30, Is Agilent Technologies, Inc. (NYSE:A) Worth Looking At Closely?;Agilent Technologies, Inc. (NYSE:A) saw a significant share price rise of over 20% in the past couple of months on the...;Wed, 12 Aug 2020 10:43:21 +0000;A_2020-08-12;0.4588;0.2263
539217a9-e27c-388c-b261-7a76a4e417cd;P;"Sirius XM Radio Inc. -- Moody's affirms Sirius XM's Ba3 ratings; outlook stable";"Rating Action: Moody's affirms Sirius XM's Ba3 ratings; outlook stable. Global Credit Research- 10 Dec 2019. Approximately $9.5 bilion of rated debt impacted.";Tue, 10 Dec 2019 21:13:08 +0000;P_2019-12-10;0.3182;0.296
5fa85495-d091-3c7a-9fd0-8ad2be580076;P;Marijuana ETFs Bounce Back: Can the Rally Last?;Passing of a legalization bill by a U.S. congressional committee boosted the battered marijuana ETF space lately.;Fri, 22 Nov 2019 13:32:13 +0000;P_2019-11-22;0.3612;0.0
bb9ec5c2-cc27-363b-845c-f9246e93b99e;L;"CNA Financial Corporation -- Moody’s rates CNA’s senior notes Baa2; outlook stable";;Tue, 11 Aug 2020 23:36:08 +0000;L_2020-08-11;0.0;0.296
399e9c9c-37bf-3677-b3f8-2e41dee017f7;L;Gulf South Pipeline Company, LP -- Moody's announces completion of a periodic review of ratings of Boardwalk Pipelines, LP;"Moody's Investors Service (""Moody's"") has completed a periodic review of the ratings of Boardwalk Pipelines, LP and other ratings that are associated with the same analytical unit.  The review was conducted through a portfolio review in which Moody's reassessed the appropriateness of the ratings in the context of the relevant principal methodology(ies), recent developments, and a comparison of the financial and operating profile to similarly rated peers.";Fri, 07 Aug 2020 20:31:07 +0000;L_2020-08-07;0.0;0.0
582c5b57-ffd1-382e-a828-f2e1d07b42ee;L;Loews Corporation Announces Quarterly Dividend On Common Stock;Loews Corporation (NYSE: L) announced today the declaration of the Company's quarterly dividend of $0.0625 per share of Common Stock, payable September 1, 2020 to shareholders of record as of the close of business on August 19, 2020.;Tue, 04 Aug 2020 15:54:00 +0000;L_2020-08-04;0.296;0.0
257c44f4-9aad-3833-9861-428b1627652f;L;Boardwalk Pipelines, LP -- Moody's rates new Boardwalk Pipeline senior notes Baa3;"Moody's Investors Service, (""Moody's"") assigned a Baa3 rating to Boardwalk Pipelines, LP's (Boardwalk) proposed senior unsecured notes offering.  ""This senior notes offering proactively refinances a February 2021 maturity at one of Boardwalk's subsidiaries, maintaining its sound liquidity,"" commented Pete Speer, Moody's Senior Vice President.  The ratings also benefit from Loews Corporation's (A3 stable) sole ownership and ability to provide support.";Tue, 04 Aug 2020 14:38:08 +0000;L_2020-08-04;0.6597;0.0
c6a7e547-9fcf-3dba-b205-ab17000f2666;L;Did Hedge Funds Make The Right Call On Loews Corporation (L) ?;At the end of February we announced the arrival of the first US recession since 2009 and we predicted that the market will decline by at least 20% in (see why hell is coming). In these volatile markets we scrutinize hedge fund filings to get a reading on which direction each stock might be going. […];Mon, 03 Aug 2020 16:49:33 +0000;L_2020-08-03;-0.8126;0.0
8b800ea0-8841-33b7-b3a7-8b8fbe71bec1;L;Loews CEO Rails Against ‘Absurd’ Valuation of Conglomerate;(L) CEO Jim Tisch said the company’s shares were “egregiously” undervalued as he devoted his remarks on the company’s earnings conference call on Monday to the stock, its valuation, and the health of its divisions.  Tisch began the call by saying, “I want to get something off my chest.”  The stock market was according a total value of less than $500 million to the company’s non-publicly traded units: Loews Hotels, Boardwalk Pipelines (a natural-gas pipeline company), and Altium Packaging.;Mon, 03 Aug 2020 16:02:00 +0000;L_2020-08-03;0.765;0.0
233d37f6-937a-3bd4-9a71-e95b7269ebf4;L;Loews Corporation Reports Net Loss Of $835 Million For The Second Quarter Of 2020;Loews Corporation (NYSE: L) today reported a net loss of $835 million, or $2.96 per share, for the three months ended June 30, 2020, compared to net income of $249 million, or $0.82 per share, in the second quarter of 2019. Net loss for the six months ended June 30, 2020 was $1.47 billion, or $5.16 per share, compared to net income of $643 million, or $2.09 per share, for the six months ended June 30, 2019.;Mon, 03 Aug 2020 10:00:00 +0000;L_2020-08-03;0.4939;-0.3182
e6e6add2-f6d0-3c4f-b8ab-c64ded822308;L;What Type Of Returns Would Loews'(NYSE:L) Shareholders Have Earned If They Purchased Their SharesYear Ago?;Investors can approximate the average market return by buying an index fund. Active investors aim to buy stocks that...;Wed, 29 Jul 2020 15:00:56 +0000;L_2020-07-29;0.4019;0.0
e4bbd9b1-480d-366e-9a4b-b6f08242289f;L;T Rowe Price Equity Income Fund's Top 5 Buys in the 2nd Quarter;Fund of Baltimore-based firm establishes new holdings in Merck and Volkswagen Continue reading...;Thu, 16 Jul 2020 23:30:31 +0000;L_2020-07-16;0.0;0.2023
ae21046e-84a4-3b67-8517-2f0511931c0b;L;Loews Corporation to Release Second Quarter 2020 Results on August 3, 2020;Loews Corporation (NYSE: L) will report second quarter 2020 financial results on Monday, August 3, 2020. The conference call for investors will begin at 10:00 a.m. ET and will be hosted by the Company's chief executive officer, James S. Tisch, and chief financial officer, David B. Edelson.;Thu, 16 Jul 2020 14:00:00 +0000;L_2020-07-16;0.0;0.0
32f9e8f6-9cea-3bec-91d1-46b358f59d5c;L;Hedge Funds Ditching Loews Corporation (L);We at Insider Monkey have gone over 821 13F filings that hedge funds and prominent investors are required to file by the SEC The 13F filings show the funds' and investors' portfolio positions as of March 31st, near the height of the coronavirus market crash. In this article, we look at what those funds think […];Fri, 19 Jun 2020 18:40:15 +0000;L_2020-06-19;-0.1027;0.0
f050298c-d979-35a5-af32-a7cb56079ecd;L;Edited Transcript of L.N earnings conference call or presentation 4-May-20 3:00pm GMT;Q1 2020 Loews Corp Earnings Call;Thu, 18 Jun 2020 08:28:23 +0000;L_2020-06-18;0.0;0.0
d6a5c6e2-b298-3f8f-8453-9a7930739eb9;L;Why Loews Corporation (L) May Not Rebound After Coronavirus;Diamond Hill Capital recently released its Q1 2020 Investor Letter, a copy of which you can download below. The Diamond Hill Small Cap Fund posted a return of -36.17% for the quarter, underperforming its benchmark, the Russell 2000 Index which returned -30.61% in the same quarter. You should check out Diamond Hill Capital's top 5 […];Thu, 04 Jun 2020 14:36:19 +0000;L_2020-06-04;0.7906;0.0
50e396c7-d493-3b07-97f2-ad10fe605c6c;L;Loews Corporation -- Moody's rates new Loews Corporation senior notes A3;"Moody's Investors Service (""Moody's"") assigned an A3 rating to Loews Corporation's (Loews) proposed issuance of senior unsecured notes.  Loews existing ratings, including its A3 senior unsecured rating, and stable outlook are not affected by this offering.";Wed, 06 May 2020 14:25:07 +0000;L_2020-05-06;-0.3728;0.0
704240f8-2c75-3db4-bd40-2588d8b05283;L;Loews (L) Q1 2020 Earnings Call Transcript;Ladies and gentlemen, thank you for standing by, and welcome to Loews Corporation's first- quarter 2020 earnings conference call.  It is now my pleasure to turn the call over to Mary Skafidas to begin.  Thank you, Maria, and good morning, everyone, and welcome to Loews Corporation's first-quarter earnings conference call.;Tue, 05 May 2020 02:30:55 +0000;L_2020-05-05;0.9485;0.0
d16f5776-86c4-3756-aeaa-e975f55d5d14;L;Loews Corporation Reports Net Loss Of $632 Million For The First Quarter Of 2020;Loews Corporation (NYSE:L) today reported a net loss of $632 million, or $2.20 per share, for the three months ended March 31, 2020, compared to net income of $394 million, or $1.27 per share, in the first quarter of 2019.;Mon, 04 May 2020 10:00:00 +0000;L_2020-05-04;0.2732;-0.3182
68485a2d-2619-325e-b33c-7e29c5436c18;L;Loews Corporation to Release First Quarter 2020 Results on May 4, 2020;Loews Corporation (NYSE: L) will report first quarter 2020 financial results on Monday, May 4, 2020. The conference call for investors will begin at 11:00 a.m. ET and will be hosted by the Company's chief executive officer, James S. Tisch, and chief financial officer, David B. Edelson.;Tue, 28 Apr 2020 14:00:00 +0000;L_2020-04-28;0.0;0.0
135f947b-35d7-3b2b-8cf6-3bfa505d295b;L;Diamond Offshore Drilling, Inc. -- Moody's downgrades Diamond Offshore Drilling to D-PD on bankruptcy filing;"Moody's Investors Service (""Moody's"") downgraded Diamond Offshore Drilling, Inc.'s (Diamond) Probability of Default Rating (PDR) to D-PD from Ca-PD, and concurrently affirmed the Ca Corporate Family Rating (CFR) and senior unsecured notes ratings.  The bankruptcy filing has resulted in a downgrade of Diamond's PDR to D-PD.  Please refer to the Moody's Investors Service Policy for Withdrawal of Credit Ratings, available on its website, www.moodys.com.";Mon, 27 Apr 2020 20:42:07 +0000;L_2020-04-27;0.5859;0.5859
